PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG
2731,Emeka Okafor,2004,1,2,2,Draft,1610612766,Charlotte,Bobcats,CHA,Connecticut,College/University,1
2732,Ben Gordon,2004,1,3,3,Draft,1610612741,Chicago,Bulls,CHI,Connecticut,College/University,1
2733,Shaun Livingston,2004,1,4,4,Draft,1610612746,Los Angeles,Clippers,LAC,Peoria,High School,1
2734,Devin Harris,2004,1,5,5,Draft,1610612764,Washington,Wizards,WAS,Wisconsin,College/University,1
2735,Josh Childress,2004,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Stanford,College/University,1
2736,Luol Deng,2004,1,7,7,Draft,1610612756,Phoenix,Suns,PHX,Duke,College/University,1
2737,Rafael Araujo,2004,1,8,8,Draft,1610612761,Toronto,Raptors,TOR,Brigham Young,College/University,1
2738,Andre Iguodala,2004,1,9,9,Draft,1610612755,Philadelphia,76ers,PHI,Arizona,College/University,1
2739,Luke Jackson,2004,1,10,10,Draft,1610612739,Cleveland,Cavaliers,CLE,Oregon,College/University,1
2740,Andris Biedrins,2004,1,11,11,Draft,1610612744,Golden State,Warriors,GSW,BK Skonto (Latvia),Other Team/Club,1
2741,Robert Swift,2004,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA,Bakersfield,High School,1
2742,Sebastian Telfair,2004,1,13,13,Draft,1610612757,Portland,Trail Blazers,POR,Abraham Lincoln,High School,1
2743,Kris Humphries,2004,1,14,14,Draft,1610612762,Utah,Jazz,UTA,Minnesota,College/University,1
2744,Al Jefferson,2004,1,15,15,Draft,1610612738,Boston,Celtics,BOS,Prentiss,High School,1
2745,Kirk Snyder,2004,1,16,16,Draft,1610612762,Utah,Jazz,UTA,Nevada-Reno,College/University,1
2746,Josh Smith,2004,1,17,17,Draft,1610612737,Atlanta,Hawks,ATL,Oak Hill Academy,High School,1
2747,JR Smith,2004,1,18,18,Draft,1610612740,New Orleans,Hornets,NOH,Saint Benedict's Preparatory School,High School,1
2748,Dorell Wright,2004,1,19,19,Draft,1610612748,Miami,Heat,MIA,South Kent School,High School,1
2749,Jameer Nelson,2004,1,20,20,Draft,1610612743,Denver,Nuggets,DEN,Saint Joseph's,College/University,1
2750,Pavel Podkolzin,2004,1,21,21,Draft,1610612762,Utah,Jazz,UTA,Pallacanestro Varese (Italy),Other Team/Club,1
2751,Viktor Khryapa,2004,1,22,22,Draft,1610612751,New Jersey,Nets,NJN,PBC CSKA Moscow (Russia),Other Team/Club,1
2752,Sergei Monia,2004,1,23,23,Draft,1610612757,Portland,Trail Blazers,POR,PBC CSKA Moscow (Russia),Other Team/Club,1
2753,Delonte West,2004,1,24,24,Draft,1610612738,Boston,Celtics,BOS,Saint Joseph's,College/University,1
2754,Tony Allen,2004,1,25,25,Draft,1610612738,Boston,Celtics,BOS,Oklahoma State,College/University,1
2755,Kevin Martin,2004,1,26,26,Draft,1610612758,Sacramento,Kings,SAC,Western Carolina,College/University,1
2756,Sasha Vujacic,2004,1,27,27,Draft,1610612747,Los Angeles,Lakers,LAL,Pallalcesto Amatori Udine (Italy),Other Team/Club,1
2757,Beno Udrih,2004,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS,Olimpia Milano (Italy),Other Team/Club,1
2758,David Harrison,2004,1,29,29,Draft,1610612754,Indiana,Pacers,IND,Colorado,College/University,1
2760,Anderson Varejao,2004,2,1,30,Draft,1610612753,Orlando,Magic,ORL,FC Barcelona Basquet (Spain),Other Team/Club,1
2761,Jackson Vroman,2004,2,2,31,Draft,1610612741,Chicago,Bulls,CHI,Iowa State,College/University,1
2762,Peter John Ramos,2004,2,3,32,Draft,1610612764,Washington,Wizards,WAS,Criollos de Caguas (Puerto Rico),Other Team/Club,1
2763,Lionel Chalmers,2004,2,4,33,Draft,1610612746,Los Angeles,Clippers,LAC,Xavier,College/University,1
2764,Donta Smith,2004,2,5,34,Draft,1610612737,Atlanta,Hawks,ATL,Southeastern Illinois,College/University,1
2765,Andre Emmett,2004,2,6,35,Draft,1610612760,Seattle,SuperSonics,SEA,Texas Tech,College/University,1
2766,Antonio Burks,2004,2,7,36,Draft,1610612753,Orlando,Magic,ORL,Memphis,College/University,1
2767,Royal Ivey,2004,2,8,37,Draft,1610612737,Atlanta,Hawks,ATL,Brigham Young,College/University,1
2768,Chris Duhon,2004,2,9,38,Draft,1610612741,Chicago,Bulls,CHI,Duke,College/University,1
2769,Albert Miralles,2004,2,10,39,Draft,1610612761,Toronto,Raptors,TOR,Roseto Sharks (Italy),Other Team/Club,0
2770,Justin Reed,2004,2,11,40,Draft,1610612738,Boston,Celtics,BOS,Mississippi,College/University,1
2801,David Young,2004,2,12,41,Draft,1610612760,Seattle,SuperSonics,SEA,North Carolina Central,College/University,1
2771,Viktor Sanikidze,2004,2,13,42,Draft,1610612737,Atlanta,Hawks,ATL,JDA Dijon Basket (France),Other Team/Club,0
2772,Trevor Ariza,2004,2,14,43,Draft,1610612752,New York,Knicks,NYK,California-Los Angeles,College/University,1
2773,Tim Pickett,2004,2,15,44,Draft,1610612740,New Orleans,Hornets,NOH,Florida State,College/University,1
2774,Bernard Robinson,2004,2,16,45,Draft,1610612766,Charlotte,Bobcats,CHA,Michigan,College/University,1
2775,Ha Ha,2004,2,17,46,Draft,1610612757,Portland,Trail Blazers,POR,Yonsei (KOR),College/University,1
2776,Pape Sow,2004,2,18,47,Draft,1610612748,Miami,Heat,MIA,Cal State-Fullerton,College/University,1
2777,Ricky Minard,2004,2,19,48,Draft,1610612758,Sacramento,Kings,SAC,Morehead State,College/University,1
2778,Sergei Lishouk,2004,2,20,49,Draft,1610612763,Memphis,Grizzlies,MEM,Miami (FL),College/University,0
2779,Vassilis Spanoulis,2004,2,21,50,Draft,1610612742,Dallas,Mavericks,DAL,Maroussi B.C. (Greece),Other Team/Club,1
2780,Christian Drejer,2004,2,22,51,Draft,1610612751,New Jersey,Nets,NJN,FC Barcelona Basquet (Spain),Other Team/Club,0
2781,Romain Sato,2004,2,23,52,Draft,1610612759,San Antonio,Spurs,SAS,Xavier,College/University,1
2782,Matt Freije,2004,2,24,53,Draft,1610612748,Miami,Heat,MIA,Vanderbilt,College/University,1
2783,Rickey Paulding,2004,2,25,54,Draft,1610612765,Detroit,Pistons,DET,Missouri,College/University,0
2784,Luis Flores,2004,2,26,55,Draft,1610612745,Houston,Rockets,HOU,Manhattan,College/University,1
2785,Marcus Douthit,2004,2,27,56,Draft,1610612747,Los Angeles,Lakers,LAL,Providence,College/University,0
2807,Sergei Karaulov,2004,2,28,57,Draft,1610612759,San Antonio,Spurs,SAS,Sakha-Yakutia Yakutsk (Russia),Other Team/Club,0
2786,Blake Stepp,2004,2,29,58,Draft,1610612750,Minnesota,Timberwolves,MIN,Gonzaga,College/University,1
2787,Rashad Wright,2004,2,30,59,Draft,1610612754,Indiana,Pacers,IND,Georgia,College/University,1
101106,Andrew Bogut,2005,1,1,1,Draft,1610612749,Milwaukee,Bucks,MIL,Utah,College/University,1
101107,Marvin Williams,2005,1,2,2,Draft,1610612737,Atlanta,Hawks,ATL,North Carolina,College/University,1
101114,Deron Williams,2005,1,3,3,Draft,1610612762,Utah,Jazz,UTA,Illinois,College/University,1
101108,Chris Paul,2005,1,4,4,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Wake Forest,College/University,1
101109,Raymond Felton,2005,1,5,5,Draft,1610612766,Charlotte,Bobcats,CHA,North Carolina,College/University,1
101110,Martell Webster,2005,1,6,6,Draft,1610612757,Portland,Trail Blazers,POR,Seattle Preparatory School,High School,1
101111,Charlie Villanueva,2005,1,7,7,Draft,1610612761,Toronto,Raptors,TOR,Connecticut,College/University,1
101112,Channing Frye,2005,1,8,8,Draft,1610612752,New York,Knicks,NYK,Arizona,College/University,1
101113,Ike Diogu,2005,1,9,9,Draft,1610612744,Golden State,Warriors,GSW,Arizona State,College/University,1
101115,Andrew Bynum,2005,1,10,10,Draft,1610612747,Los Angeles,Lakers,LAL,Saint Joseph,High School,1
101116,Fran Vazquez,2005,1,11,11,Draft,1610612753,Orlando,Magic,ORL,Baloncesto Malaga (Spain),Other Team/Club,0
101117,Yaroslav Korolev,2005,1,12,12,Draft,1610612746,Los Angeles,Clippers,LAC,PBC CSKA Moscow (Russia),Other Team/Club,1
101118,Sean May,2005,1,13,13,Draft,1610612766,Charlotte,Bobcats,CHA,North Carolina,College/University,1
101119,Rashad McCants,2005,1,14,14,Draft,1610612750,Minnesota,Timberwolves,MIN,North Carolina,College/University,1
101120,Antoine Wright,2005,1,15,15,Draft,1610612751,New Jersey,Nets,NJN,Texas A&M,College/University,1
101121,Joey Graham,2005,1,16,16,Draft,1610612761,Toronto,Raptors,TOR,Oklahoma State,College/University,1
101122,Danny Granger,2005,1,17,17,Draft,1610612754,Indiana,Pacers,IND,New Mexico,College/University,1
101123,Gerald Green,2005,1,18,18,Draft,1610612738,Boston,Celtics,BOS,Gulf Shores Academy,High School,1
101124,Hakim Warrick,2005,1,19,19,Draft,1610612763,Memphis,Grizzlies,MEM,Syracuse,College/University,1
101125,Julius Hodge,2005,1,20,20,Draft,1610612743,Denver,Nuggets,DEN,North Carolina State,College/University,1
101126,Nate Robinson,2005,1,21,21,Draft,1610612756,Phoenix,Suns,PHX,Washington,College/University,1
101127,Jarrett Jack,2005,1,22,22,Draft,1610612743,Denver,Nuggets,DEN,Georgia Tech,College/University,1
101128,Francisco Garcia,2005,1,23,23,Draft,1610612758,Sacramento,Kings,SAC,Louisville,College/University,1
101129,Luther Head,2005,1,24,24,Draft,1610612745,Houston,Rockets,HOU,Illinois,College/University,1
101130,Johan Petro,2005,1,25,25,Draft,1610612760,Seattle,SuperSonics,SEA,Elan Bearnais Pau-Orthez (France),Other Team/Club,1
101131,Jason Maxiell,2005,1,26,26,Draft,1610612765,Detroit,Pistons,DET,Cincinnati,College/University,1
101132,Linas Kleiza,2005,1,27,27,Draft,1610612757,Portland,Trail Blazers,POR,Missouri,College/University,1
101133,Ian Mahinmi,2005,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS,STB Le Havre (France),Other Team/Club,1
101134,Wayne Simien,2005,1,29,29,Draft,1610612748,Miami,Heat,MIA,Kansas,College/University,1
101135,David Lee,2005,1,30,30,Draft,1610612752,New York,Knicks,NYK,Florida,College/University,1
101136,Salim Stoudamire,2005,2,1,31,Draft,1610612737,Atlanta,Hawks,ATL,Arizona,College/University,1
101137,Daniel Ewing,2005,2,2,32,Draft,1610612746,Los Angeles,Clippers,LAC,Duke,College/University,1
101138,Brandon Bass,2005,2,3,33,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Louisiana State,College/University,1
101139,CJ Miles,2005,2,4,34,Draft,1610612762,Utah,Jazz,UTA,Skyline,High School,1
101140,Ricky Sanchez,2005,2,5,35,Draft,1610612757,Portland,Trail Blazers,POR,IMG Academy,High School,0
101141,Ersan Ilyasova,2005,2,6,36,Draft,1610612749,Milwaukee,Bucks,MIL,Ulkerspor (Turkey),Other Team/Club,1
101142,Ronny Turiaf,2005,2,7,37,Draft,1610612747,Los Angeles,Lakers,LAL,Gonzaga,College/University,1
101143,Travis Diener,2005,2,8,38,Draft,1610612753,Orlando,Magic,ORL,Marquette,College/University,1
101144,Von Wafer,2005,2,9,39,Draft,1610612747,Los Angeles,Lakers,LAL,Florida State,College/University,1
101145,Monta Ellis,2005,2,10,40,Draft,1610612744,Golden State,Warriors,GSW,Lanier,High School,1
101146,Roko Ukic,2005,2,11,41,Draft,1610612761,Toronto,Raptors,TOR,KK Split (Croatia),Other Team/Club,1
101147,Chris Taft,2005,2,12,42,Draft,1610612744,Golden State,Warriors,GSW,Pittsburgh,College/University,1
101148,Mile Ilic,2005,2,13,43,Draft,1610612751,New Jersey,Nets,NJN,KK FMP (Serbia),Other Team/Club,1
101149,Martynas Andriuskevicius,2005,2,14,44,Draft,1610612753,Orlando,Magic,ORL,BC Zalgiris (Lithuania),Other Team/Club,1
101150,Lou Williams,2005,2,15,45,Draft,1610612755,Philadelphia,76ers,PHI,South Gwinnett,High School,1
101151,Erazem Lorbek,2005,2,16,46,Draft,1610612754,Indiana,Pacers,IND,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,1
101152,Bracey Wright,2005,2,17,47,Draft,1610612750,Minnesota,Timberwolves,MIN,Indiana,College/University,1
101153,Mickael Gelabale,2005,2,18,48,Draft,1610612760,Seattle,SuperSonics,SEA,Real Madrid Baloncesto (Spain),Other Team/Club,1
101154,Andray Blatche,2005,2,19,49,Draft,1610612764,Washington,Wizards,WAS,South Kent School,High School,1
101155,Ryan Gomes,2005,2,20,50,Draft,1610612738,Boston,Celtics,BOS,Providence,College/University,1
101156,Robert Whaley,2005,2,21,51,Draft,1610612762,Utah,Jazz,UTA,Walsh,College/University,1
101157,Axel Hervelle,2005,2,22,52,Draft,1610612743,Denver,Nuggets,DEN,Real Madrid Baloncesto (Spain),Other Team/Club,0
101158,Orien Greene,2005,2,23,53,Draft,1610612738,Boston,Celtics,BOS,Louisiana-Lafayette,College/University,1
101159,Dijon Thompson,2005,2,24,54,Draft,1610612752,New York,Knicks,NYK,California-Los Angeles,College/University,1
101160,Lawrence Roberts,2005,2,25,55,Draft,1610612760,Seattle,SuperSonics,SEA,Mississippi,College/University,1
101161,Amir Johnson,2005,2,26,56,Draft,1610612765,Detroit,Pistons,DET,Westchester,High School,1
101162,Marcin Gortat,2005,2,27,57,Draft,1610612756,Phoenix,Suns,PHX,Koln 99ers (Germany),Other Team/Club,1
101166,Uros Slokar,2005,2,28,58,Draft,1610612761,Toronto,Raptors,TOR,Pallalcesto Amatori Udine (Italy),Other Team/Club,1
101164,Cenk Akyol,2005,2,29,59,Draft,1610612737,Atlanta,Hawks,ATL,Anadolu Efes S.K. (Turkey),Other Team/Club,0
101165,Alex Acker,2005,2,30,60,Draft,1610612765,Detroit,Pistons,DET,Pepperdine,College/University,1
200745,Andrea Bargnani,2006,1,1,1,Draft,1610612761,Toronto,Raptors,TOR,Universo Treviso Basket (Italy),Other Team/Club,1
200746,LaMarcus Aldridge,2006,1,2,2,Draft,1610612741,Chicago,Bulls,CHI,Texas,College/University,1
200747,Adam Morrison,2006,1,3,3,Draft,1610612766,Charlotte,Bobcats,CHA,Gonzaga,College/University,1
200748,Tyrus Thomas,2006,1,4,4,Draft,1610612757,Portland,Trail Blazers,POR,Louisiana State,College/University,1
200749,Shelden Williams,2006,1,5,5,Draft,1610612737,Atlanta,Hawks,ATL,Duke,College/University,1
200750,Brandon Roy,2006,1,6,6,Draft,1610612750,Minnesota,Timberwolves,MIN,Washington,College/University,1
200751,Randy Foye,2006,1,7,7,Draft,1610612738,Boston,Celtics,BOS,Villanova,College/University,1
200752,Rudy Gay,2006,1,8,8,Draft,1610612745,Houston,Rockets,HOU,Connecticut,College/University,1
200753,Patrick O'Bryant,2006,1,9,9,Draft,1610612744,Golden State,Warriors,GSW,Bradley,College/University,1
200754,Mouhamed Sene,2006,1,10,10,Draft,1610612760,Seattle,SuperSonics,SEA,VOO Wolves Verviers-Pepinster (Belgium),Other Team/Club,1
200755,JJ Redick,2006,1,11,11,Draft,1610612753,Orlando,Magic,ORL,Duke,College/University,1
200756,Hilton Armstrong,2006,1,12,12,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Connecticut,College/University,1
200757,Thabo Sefolosha,2006,1,13,13,Draft,1610612755,Philadelphia,76ers,PHI,Pallacanestro Biella (Italy),Other Team/Club,1
200758,Ronnie Brewer,2006,1,14,14,Draft,1610612762,Utah,Jazz,UTA,Arkansas,College/University,1
200759,Cedric Simmons,2006,1,15,15,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK,North Carolina State,College/University,1
200760,Rodney Carney,2006,1,16,16,Draft,1610612741,Chicago,Bulls,CHI,Memphis,College/University,1
200761,Shawne Williams,2006,1,17,17,Draft,1610612754,Indiana,Pacers,IND,Memphis,College/University,1
200762,Oleksiy Pecherov,2006,1,18,18,Draft,1610612764,Washington,Wizards,WAS,Paris Basket Racing (France),Other Team/Club,1
200763,Quincy Douby,2006,1,19,19,Draft,1610612758,Sacramento,Kings,SAC,Rutgers,College/University,1
200764,Renaldo Balkman,2006,1,20,20,Draft,1610612752,New York,Knicks,NYK,South Carolina,College/University,1
200765,Rajon Rondo,2006,1,21,21,Draft,1610612756,Phoenix,Suns,PHX,Kentucky,College/University,1
200766,Marcus Williams,2006,1,22,22,Draft,1610612751,New Jersey,Nets,NJN,Connecticut,College/University,1
200767,Josh Boone,2006,1,23,23,Draft,1610612751,New Jersey,Nets,NJN,Connecticut,College/University,1
200768,Kyle Lowry,2006,1,24,24,Draft,1610612763,Memphis,Grizzlies,MEM,Villanova,College/University,1
200769,Shannon Brown,2006,1,25,25,Draft,1610612739,Cleveland,Cavaliers,CLE,Michigan State,College/University,1
200770,Jordan Farmar,2006,1,26,26,Draft,1610612747,Los Angeles,Lakers,LAL,California-Los Angeles,College/University,1
200771,Sergio Rodriguez,2006,1,27,27,Draft,1610612756,Phoenix,Suns,PHX,CB Estudiantes (Spain),Other Team/Club,1
200772,Maurice Ager,2006,1,28,28,Draft,1610612742,Dallas,Mavericks,DAL,Michigan State,College/University,1
200776,Mardy Collins,2006,1,29,29,Draft,1610612752,New York,Knicks,NYK,Temple,College/University,1
200777,Joel Freeland,2006,1,30,30,Draft,1610612757,Portland,Trail Blazers,POR,CB Gran Canaria (Spain),Other Team/Club,1
200778,James White,2006,2,1,31,Draft,1610612757,Portland,Trail Blazers,POR,Cincinnati,College/University,1
200779,Steve Novak,2006,2,2,32,Draft,1610612745,Houston,Rockets,HOU,Marquette,College/University,1
200780,Solomon Jones,2006,2,3,33,Draft,1610612737,Atlanta,Hawks,ATL,South Florida,College/University,1
200781,Paul Davis,2006,2,4,34,Draft,1610612746,Los Angeles,Clippers,LAC,Michigan State,College/University,1
200782,P.J. Tucker,2006,2,5,35,Draft,1610612761,Toronto,Raptors,TOR,Texas,College/University,1
200783,Craig Smith,2006,2,6,36,Draft,1610612750,Minnesota,Timberwolves,MIN,Boston College,College/University,1
200784,Bobby Jones,2006,2,7,37,Draft,1610612750,Minnesota,Timberwolves,MIN,Washington,College/University,1
200785,Kosta Perovic,2006,2,8,38,Draft,1610612744,Golden State,Warriors,GSW,KK Partizan (Serbia),Other Team/Club,1
200786,David Noel,2006,2,9,39,Draft,1610612749,Milwaukee,Bucks,MIL,North Carolina,College/University,1
200787,Denham Brown,2006,2,10,40,Draft,1610612760,Seattle,SuperSonics,SEA,Connecticut,College/University,1
200788,James Augustine,2006,2,11,41,Draft,1610612753,Orlando,Magic,ORL,Illinois,College/University,1
200789,Daniel Gibson,2006,2,12,42,Draft,1610612739,Cleveland,Cavaliers,CLE,Texas,College/University,1
200790,Marcus Vinicius,2006,2,13,43,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Objetivo Sao Carlos (Brazil),Other Team/Club,1
200791,Lior Eliyahu,2006,2,14,44,Draft,1610612753,Orlando,Magic,ORL,Hapoel Galil Elyon (Israel),Other Team/Club,0
200792,Alexander Johnson,2006,2,15,45,Draft,1610612754,Indiana,Pacers,IND,Florida State,College/University,1
200793,Dee Brown,2006,2,16,46,Draft,1610612762,Utah,Jazz,UTA,Illinois,College/University,1
200794,Paul Millsap,2006,2,17,47,Draft,1610612762,Utah,Jazz,UTA,Louisiana Tech,College/University,1
200795,Vladimir Veremeenko,2006,2,18,48,Draft,1610612764,Washington,Wizards,WAS,CB Cornella (Spain),Other Team/Club,0
200796,Leon Powe,2006,2,19,49,Draft,1610612743,Denver,Nuggets,DEN,California,College/University,1
200797,Ryan Hollins,2006,2,20,50,Draft,1610612766,Charlotte,Bobcats,CHA,California-Los Angeles,College/University,1
200798,Cheikh Samb,2006,2,21,51,Draft,1610612747,Los Angeles,Lakers,LAL,CB Cornella (Spain),Other Team/Club,1
200799,Guillermo Diaz,2006,2,22,52,Draft,1610612746,Los Angeles,Clippers,LAC,Miami (FL),College/University,1
200800,Yotam Halperin,2006,2,23,53,Draft,1610612760,Seattle,SuperSonics,SEA,KK Olimpija (Slovenia),Other Team/Club,0
200801,Hassan Adams,2006,2,24,54,Draft,1610612751,New Jersey,Nets,NJN,Arizona,College/University,1
200802,Ejike Ugboaja,2006,2,25,55,Draft,1610612739,Cleveland,Cavaliers,CLE,Union Bank Lagos B.C. (Nigeria),Other Team/Club,0
200803,Edin Bavcic,2006,2,26,56,Draft,1610612761,Toronto,Raptors,TOR,KK Bosna Royal (Bosnia and Herzegovina),Other Team/Club,0
200804,Loukas Mavrokefalidis,2006,2,27,57,Draft,1610612750,Minnesota,Timberwolves,MIN,P.A.O.K. B.C. (Greece),Other Team/Club,0
200805,JR Pinnock,2006,2,28,58,Draft,1610612742,Dallas,Mavericks,DAL,George Washington,College/University,1
200806,Damir Markota,2006,2,29,59,Draft,1610612759,San Antonio,Spurs,SAS,KK Cibona (Croatia),Other Team/Club,1
200807,Will Blalock,2006,2,30,60,Draft,1610612765,Detroit,Pistons,DET,Iowa State,College/University,1
201141,Greg Oden,2007,1,1,1,Draft,1610612757,Portland,Trail Blazers,POR,Ohio State,College/University,1
201142,Kevin Durant,2007,1,2,2,Draft,1610612760,Seattle,SuperSonics,SEA,Texas,College/University,1
201143,Al Horford,2007,1,3,3,Draft,1610612737,Atlanta,Hawks,ATL,Florida,College/University,1
201144,Mike Conley,2007,1,4,4,Draft,1610612763,Memphis,Grizzlies,MEM,Ohio State,College/University,1
201145,Jeff Green,2007,1,5,5,Draft,1610612738,Boston,Celtics,BOS,Georgetown,College/University,1
201146,Yi Jianlian,2007,1,6,6,Draft,1610612749,Milwaukee,Bucks,MIL,Guangdong Southern Tigers (China),Other Team/Club,1
201147,Corey Brewer,2007,1,7,7,Draft,1610612750,Minnesota,Timberwolves,MIN,Florida,College/University,1
201148,Brandan Wright,2007,1,8,8,Draft,1610612766,Charlotte,Bobcats,CHA,North Carolina,College/University,1
201149,Joakim Noah,2007,1,9,9,Draft,1610612741,Chicago,Bulls,CHI,Florida,College/University,1
201150,Spencer Hawes,2007,1,10,10,Draft,1610612758,Sacramento,Kings,SAC,Washington,College/University,1
201151,Acie Law,2007,1,11,11,Draft,1610612737,Atlanta,Hawks,ATL,Texas A&M,College/University,1
201152,Thaddeus Young,2007,1,12,12,Draft,1610612755,Philadelphia,76ers,PHI,Georgia Tech,College/University,1
201153,Julian Wright,2007,1,13,13,Draft,1610612740,New Orleans,Hornets,NOH,Kansas,College/University,1
201154,Al Thornton,2007,1,14,14,Draft,1610612746,Los Angeles,Clippers,LAC,Florida State,College/University,1
201155,Rodney Stuckey,2007,1,15,15,Draft,1610612765,Detroit,Pistons,DET,Eastern Washington,College/University,1
201156,Nick Young,2007,1,16,16,Draft,1610612764,Washington,Wizards,WAS,Southern California,College/University,1
201157,Sean Williams,2007,1,17,17,Draft,1610612751,New Jersey,Nets,NJN,Boston College,College/University,1
201158,Marco Belinelli,2007,1,18,18,Draft,1610612744,Golden State,Warriors,GSW,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,1
201159,Javaris Crittenton,2007,1,19,19,Draft,1610612747,Los Angeles,Lakers,LAL,Georgia Tech,College/University,1
201160,Jason Smith,2007,1,20,20,Draft,1610612748,Miami,Heat,MIA,Colorado State,College/University,1
201161,Daequan Cook,2007,1,21,21,Draft,1610612755,Philadelphia,76ers,PHI,Ohio State,College/University,1
201162,Jared Dudley,2007,1,22,22,Draft,1610612766,Charlotte,Bobcats,CHA,Boston College,College/University,1
201163,Wilson Chandler,2007,1,23,23,Draft,1610612752,New York,Knicks,NYK,DePaul,College/University,1
201164,Rudy Fernandez,2007,1,24,24,Draft,1610612756,Phoenix,Suns,PHX,Joventut Badalona (Spain),Other Team/Club,1
201165,Morris Almond,2007,1,25,25,Draft,1610612762,Utah,Jazz,UTA,Rice,College/University,1
201166,Aaron Brooks,2007,1,26,26,Draft,1610612745,Houston,Rockets,HOU,Oregon,College/University,1
201167,Arron Afflalo,2007,1,27,27,Draft,1610612765,Detroit,Pistons,DET,California-Los Angeles,College/University,1
201168,Tiago Splitter,2007,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS,Saski Baskonia (Spain),Other Team/Club,1
201169,Alando Tucker,2007,1,29,29,Draft,1610612756,Phoenix,Suns,PHX,Wisconsin,College/University,1
201170,Petteri Koponen,2007,1,30,30,Draft,1610612755,Philadelphia,76ers,PHI,Espoon Honka (Finland),Other Team/Club,0
201171,Carl Landry,2007,2,1,31,Draft,1610612760,Seattle,SuperSonics,SEA,Purdue,College/University,1
201172,Gabe Pruitt,2007,2,2,32,Draft,1610612738,Boston,Celtics,BOS,Southern California,College/University,1
201173,Marcus Williams,2007,2,3,33,Draft,1610612759,San Antonio,Spurs,SAS,Arizona,College/University,1
201174,Nick Fazekas,2007,2,4,34,Draft,1610612742,Dallas,Mavericks,DAL,Nevada-Reno,College/University,1
201175,Glen Davis,2007,2,5,35,Draft,1610612760,Seattle,SuperSonics,SEA,Louisiana State,College/University,1
201176,Jermareo Davidson,2007,2,6,36,Draft,1610612744,Golden State,Warriors,GSW,Alabama,College/University,1
201177,Josh McRoberts,2007,2,7,37,Draft,1610612757,Portland,Trail Blazers,POR,Duke,College/University,1
201178,Kyrylo Fesenko,2007,2,8,38,Draft,1610612755,Philadelphia,76ers,PHI,Cherkaski Mavpy (Ukraine),Other Team/Club,1
201179,Stanko Barac,2007,2,9,39,Draft,1610612748,Miami,Heat,MIA,HKK Siroki (Bosnia and Herzegovina),Other Team/Club,0
201180,Sun Sun,2007,2,10,40,Draft,1610612747,Los Angeles,Lakers,LAL,Beijing Olympians (China),Other Team/Club,1
201181,Chris Richard,2007,2,11,41,Draft,1610612750,Minnesota,Timberwolves,MIN,Florida,College/University,1
201182,Derrick Byars,2007,2,12,42,Draft,1610612757,Portland,Trail Blazers,POR,Vanderbilt,College/University,1
201183,Adam Haluska,2007,2,13,43,Draft,1610612740,New Orleans,Hornets,NOH,Iowa,College/University,1
201184,Reyshawn Terry,2007,2,14,44,Draft,1610612753,Orlando,Magic,ORL,North Carolina,College/University,1
201185,Jared Jordan,2007,2,15,45,Draft,1610612746,Los Angeles,Clippers,LAC,Marist,College/University,1
201186,Stephane Lasme,2007,2,16,46,Draft,1610612744,Golden State,Warriors,GSW,Massachusetts,College/University,1
201187,Dominic McGuire,2007,2,17,47,Draft,1610612764,Washington,Wizards,WAS,Fresno State,College/University,1
201188,Marc Gasol,2007,2,18,48,Draft,1610612747,Los Angeles,Lakers,LAL,CB Sant Josep (Spain),Other Team/Club,1
201189,Aaron Gray,2007,2,19,49,Draft,1610612741,Chicago,Bulls,CHI,Pittsburgh,College/University,1
201190,Renaldas Seibutis,2007,2,20,50,Draft,1610612742,Dallas,Mavericks,DAL,Maroussi B.C. (Greece),Other Team/Club,0
201191,JamesOn Curry,2007,2,21,51,Draft,1610612741,Chicago,Bulls,CHI,Oklahoma State,College/University,1
201192,Taurean Green,2007,2,22,52,Draft,1610612757,Portland,Trail Blazers,POR,Florida,College/University,1
201193,Demetris Nichols,2007,2,23,53,Draft,1610612757,Portland,Trail Blazers,POR,Syracuse,College/University,1
201194,Brad Newley,2007,2,24,54,Draft,1610612745,Houston,Rockets,HOU,Townsville Crocodiles (Australia),Other Team/Club,0
201195,Herbert Hill,2007,2,25,55,Draft,1610612762,Utah,Jazz,UTA,Providence,College/University,1
201196,Ramon Sessions,2007,2,26,56,Draft,1610612749,Milwaukee,Bucks,MIL,Nevada-Reno,College/University,1
