player_name,OVERALL_PICK,SEASON,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Adam Haluska,43,2007,190,167,144,8.0,42.0,53.0,54.0,0.408,1070.0,23.0
Reyshawn Terry,44,2007,130,65,204,24.0,27.0,69.0,85.0,0.494,817.0,22.0
Jared Jordan,45,2007,197,116,194,2.0,45.0,110.0,54.0,0.425,1252.0,22.0
Dominic McGuire,47,2007,85,31,138,31.0,16.0,52.0,53.0,0.497,649.0,19.0
Dominic McGuire,47,2007,153,106,314,114.0,28.0,119.0,91.0,0.471,1054.0,21.0
Aaron Gray,49,2007,204,91,341,62.0,15.0,55.0,91.0,0.565,1016.0,22.0
JamesOn Curry,51,2007,202,115,111,11.0,41.0,109.0,74.0,0.452,1295.0,21.0
Taurean Green,52,2007,154,141,96,1.0,42.0,107.0,60.0,0.444,1328.0,20.0
Demetris Nichols,53,2007,225,113,190,37.0,49.0,77.0,73.0,0.447,1217.0,22.0
Herbert Hill,55,2007,240,80,274,91.0,30.0,89.0,90.0,0.64,990.0,22.0
Ramon Sessions,56,2007,140,118,161,7.0,29.0,85.0,41.0,0.452,1028.0,20.0
Sammy Mejia,57,2007,188,62,202,4.0,35.0,65.0,72.0,0.481,1140.0,23.0
Derrick Rose,1,2008,208,146,181,15.0,48.0,107.0,68.0,0.477,1168.0,19.0
Michael Beasley,2,2008,307,216,408,54.0,42.0,95.0,85.0,0.532,1041.0,19.0
O.J. Mayo,3,2008,237,122,150,13.0,51.0,117.0,80.0,0.442,1216.0,20.0
Russell Westbrook,4,2008,182,107,153,7.0,63.0,96.0,93.0,0.465,1318.0,19.0
Kevin Love,5,2008,227,198,415,56.0,27.0,78.0,73.0,0.559,1156.0,19.0
Eric Gordon,7,2008,184,231,104,20.0,42.0,115.0,69.0,0.433,1110.0,19.0
Joe Alexander,8,2008,219,158,231,54.0,26.0,80.0,103.0,0.462,1137.0,21.0
D.J. Augustin,9,2008,242,173,112,0.0,47.0,105.0,61.0,0.439,1417.0,20.0
Brook Lopez,10,2008,184,153,221,56.0,16.0,58.0,66.0,0.468,831.0,19.0
Jerryd Bayless,11,2008,173,187,82,3.0,29.0,89.0,66.0,0.458,1072.0,19.0
Jason Thompson,12,2008,275,133,412,91.0,36.0,99.0,100.0,0.56,1177.0,21.0
Brandon Rush,13,2008,180,67,195,32.0,32.0,69.0,60.0,0.435,1127.0,22.0
Anthony Randolph,14,2008,183,115,263,70.0,35.0,92.0,85.0,0.464,1016.0,18.0
Robin Lopez,15,2008,140,86,204,83.0,18.0,63.0,94.0,0.534,883.0,19.0
Marreese Speights,16,2008,216,90,290,49.0,15.0,62.0,82.0,0.624,874.0,20.0
Roy Hibbert,17,2008,179,93,216,75.0,18.0,57.0,92.0,0.609,894.0,21.0
JaVale McGee,18,2008,189,74,242,92.0,26.0,80.0,82.0,0.529,902.0,20.0
Ryan Anderson,21,2008,230,173,328,18.0,12.0,74.0,71.0,0.49,1082.0,19.0
Courtney Lee,22,2008,259,148,175,28.0,65.0,84.0,87.0,0.477,1079.0,22.0
Kosta Koufos,23,2008,222,68,247,67.0,16.0,55.0,81.0,0.508,1003.0,18.0
George Hill,26,2008,220,199,216,13.0,57.0,94.0,89.0,0.545,1179.0,21.0
Darrell Arthur,27,2008,214,80,250,53.0,20.0,75.0,118.0,0.543,989.0,19.0
J.R. Giddens,30,2008,111,17,114,22.0,25.0,48.0,54.0,0.404,831.0,19.0
J.R. Giddens,30,2008,210,92,290,39.0,47.0,73.0,64.0,0.516,1063.0,22.0
Walter Sharpe,32,2008,20,16,30,5.0,3.0,13.0,13.0,0.541,118.0,19.0
Walter Sharpe,32,2008,68,34,82,22.0,14.0,34.0,36.0,0.523,299.0,21.0
Joey Dorsey,33,2008,108,45,362,74.0,41.0,41.0,107.0,0.647,958.0,24.0
Mario Chalmers,34,2008,164,97,120,23.0,97.0,75.0,99.0,0.516,1170.0,21.0
DeAndre Jordan,35,2008,113,52,210,44.0,7.0,57.0,67.0,0.617,703.0,19.0
Luc Mbah a Moute,37,2008,117,51,198,15.0,34.0,62.0,55.0,0.478,958.0,21.0
Kyle Weaver,38,2008,138,126,184,25.0,60.0,97.0,66.0,0.463,1159.0,21.0
Sonny Weems,39,2008,197,61,152,8.0,45.0,96.0,74.0,0.464,1067.0,21.0
Chris Douglas-Roberts,40,2008,259,161,165,18.0,49.0,83.0,68.0,0.541,1147.0,21.0
Nathan Jawai,41,2008,56,36,76,19.0,34.0,68.0,73.0,0.533,311.0,20.0
Sean Singletary,42,2008,203,189,127,1.0,60.0,128.0,88.0,0.426,1122.0,22.0
Patrick Ewing,43,2008,42,31,110,18.0,21.0,33.0,75.0,0.477,463.0,20.0
Patrick Ewing,43,2008,74,48,143,23.0,33.0,54.0,83.0,0.529,738.0,23.0
Trent Plaisted,46,2008,202,141,269,34.0,15.0,84.0,82.0,0.542,958.0,21.0
Henry Walker,47,2008,181,101,196,17.0,27.0,81.0,101.0,0.465,846.0,20.0
Malik Hairston,48,2008,176,101,150,26.0,19.0,55.0,90.0,0.525,976.0,20.0
Richard Hendrix,49,2008,229,108,324,62.0,41.0,55.0,94.0,0.598,980.0,21.0
DeVon Hardin,50,2008,98,84,221,37.0,17.0,43.0,74.0,0.554,714.0,21.0
Shan Foster,51,2008,242,73,167,8.0,36.0,58.0,66.0,0.523,1147.0,21.0
Darnell Jackson,52,2008,171,103,267,19.0,31.0,51.0,90.0,0.626,971.0,22.0
Maarty Leunen,54,2008,157,112,293,11.0,28.0,50.0,78.0,0.559,1110.0,22.0
Mike Taylor,55,2008,165,88,126,3.0,35.0,168.0,89.0,0.376,1019.0,21.0
Sasha Kaun,56,2008,109,66,154,49.0,17.0,32.0,97.0,0.619,707.0,22.0
James Gist,57,2008,194,115,260,77.0,42.0,90.0,101.0,0.496,1056.0,21.0
Joe Crawford,58,2008,188,99,109,5.0,17.0,83.0,81.0,0.469,1009.0,21.0
Deron Washington,59,2008,147,147,227,22.0,34.0,74.0,103.0,0.416,1159.0,22.0
Blake Griffin,1,2009,300,191,504,41.0,39.0,116.0,89.0,0.654,1165.0,19.0
Hasheem Thabeet,2,2009,178,133,388,152.0,22.0,68.0,90.0,0.64,1145.0,21.0
James Harden,3,2009,221,204,195,11.0,59.0,118.0,99.0,0.489,1254.0,19.0
Tyreke Evans,4,2009,230,138,198,29.0,77.0,133.0,89.0,0.455,1072.0,19.0
Jonny Flynn,6,2009,219,180,104,6.0,54.0,129.0,55.0,0.46,1418.0,19.0
Stephen Curry,7,2009,312,220,151,8.0,86.0,126.0,81.0,0.454,1145.0,20.0
Jordan Hill,8,2009,252,117,375,58.0,30.0,97.0,102.0,0.537,1213.0,21.0
DeMar DeRozan,9,2009,192,95,201,13.0,31.0,73.0,73.0,0.523,1168.0,19.0
Terrence Williams,11,2009,169,68,317,29.0,86.0,86.0,62.0,0.431,1266.0,21.0
Gerald Henderson,12,2009,213,143,183,28.0,46.0,80.0,63.0,0.45,1098.0,21.0
Tyler Hansbrough,13,2009,223,249,276,12.0,42.0,63.0,77.0,0.514,1029.0,23.0
Earl Clark,14,2009,202,90,322,51.0,38.0,119.0,71.0,0.457,1269.0,21.0
Austin Daye,15,2009,159,77,232,70.0,24.0,73.0,97.0,0.477,895.0,20.0
James Johnson,16,2009,187,69,264,48.0,44.0,74.0,91.0,0.542,946.0,21.0
Jrue Holiday,17,2009,112,45,132,18.0,55.0,75.0,75.0,0.45,950.0,18.0
Ty Lawson,18,2009,182,166,104,5.0,75.0,66.0,59.0,0.532,1048.0,21.0
Jeff Teague,19,2009,180,179,102,20.0,58.0,104.0,68.0,0.485,991.0,20.0
Eric Maynor,20,2009,248,198,122,6.0,58.0,101.0,82.0,0.463,1206.0,21.0
Darren Collison,21,2009,175,113,84,5.0,57.0,87.0,53.0,0.509,1103.0,21.0
Byron Mullens,24,2009,120,52,154,37.0,16.0,51.0,68.0,0.638,671.0,19.0
Taj Gibson,26,2009,190,120,316,100.0,34.0,72.0,103.0,0.601,1179.0,23.0
DeMarre Carroll,27,2009,135,52,191,11.0,37.0,54.0,80.0,0.511,873.0,19.0
DeMarre Carroll,27,2009,246,121,273,25.0,59.0,56.0,84.0,0.558,1064.0,22.0
Wayne Ellington,28,2009,215,87,186,6.0,36.0,62.0,57.0,0.483,1155.0,21.0
Toney Douglas,29,2009,179,105,165,3.0,43.0,79.0,78.0,0.424,1103.0,18.0
Toney Douglas,29,2009,239,188,137,15.0,63.0,87.0,76.0,0.446,1279.0,22.0
Jeff Ayres,31,2009,198,113,287,30.0,17.0,43.0,94.0,0.66,1139.0,21.0
Jermaine Taylor,32,2009,291,138,161,24.0,39.0,87.0,55.0,0.48,989.0,22.0
Dante Cunningham,33,2009,244,124,284,47.0,47.0,82.0,103.0,0.525,1199.0,21.0
DaJuan Summers,35,2009,137,97,128,21.0,35.0,81.0,81.0,0.474,910.0,21.0
Sam Young,36,2009,261,114,225,30.0,35.0,88.0,60.0,0.502,1146.0,23.0
DeJuan Blair,37,2009,226,98,432,34.0,54.0,44.0,95.0,0.593,955.0,19.0
Jon Brockman,38,2009,190,126,391,3.0,31.0,65.0,102.0,0.526,1036.0,21.0
Derrick Brown,40,2009,170,100,212,30.0,25.0,61.0,87.0,0.504,1033.0,21.0
Jodie Meeks,41,2009,263,211,122,5.0,48.0,96.0,69.0,0.463,1237.0,21.0
Patrick Beverley,42,2009,136,85,231,16.0,44.0,69.0,85.0,0.412,1183.0,19.0
Marcus Thornton,43,2009,256,149,192,13.0,56.0,64.0,72.0,0.472,1116.0,21.0
Chase Budinger,44,2009,219,125,217,16.0,50.0,85.0,65.0,0.48,1317.0,20.0
Nick Calathes,45,2009,205,135,192,6.0,68.0,119.0,69.0,0.482,1200.0,19.0
Danny Green,46,2009,184,52,178,51.0,67.0,63.0,84.0,0.471,1040.0,21.0
Taylor Griffin,48,2009,125,91,210,36.0,47.0,62.0,100.0,0.536,1081.0,22.0
Goran Suton,50,2009,123,67,269,16.0,36.0,58.0,81.0,0.521,855.0,23.0
Jack McClinton,51,2009,137,88,150,1.0,34.0,79.0,88.0,0.423,969.0,20.0
Jack McClinton,51,2009,200,116,99,1.0,24.0,84.0,52.0,0.449,1030.0,24.0
Robert Vaden,54,2009,150,37,170,6.0,38.0,102.0,86.0,0.436,1066.0,20.0
Robert Vaden,54,2009,207,74,168,21.0,35.0,84.0,61.0,0.397,1240.0,23.0
Patty Mills,55,2009,163,85,62,6.0,57.0,75.0,43.0,0.402,867.0,20.0
Ahmad Nivins,56,2009,205,203,378,56.0,26.0,87.0,70.0,0.612,1259.0,21.0
Lester Hudson,58,2009,313,148,254,18.0,75.0,106.0,86.0,0.449,1153.0,24.0
Chinemelu Elonu,59,2009,129,76,249,53.0,10.0,62.0,95.0,0.665,810.0,21.0
Robert Dozier,60,2009,166,124,277,61.0,47.0,74.0,101.0,0.519,1118.0,23.0
John Wall,1,2010,202,175,159,19.0,66.0,149.0,72.0,0.461,1288.0,19.0
Evan Turner,2,2010,237,138,284,28.0,54.0,136.0,86.0,0.519,1108.0,21.0
Derrick Favors,3,2010,179,90,303,74.0,32.0,90.0,94.0,0.611,989.0,18.0
Wesley Johnson,4,2010,114,60,107,11.0,24.0,57.0,60.0,0.396,730.0,20.0
Wesley Johnson,4,2010,207,112,299,64.0,58.0,81.0,72.0,0.502,1224.0,22.0
DeMarcus Cousins,5,2010,206,162,374,67.0,37.0,78.0,122.0,0.558,893.0,19.0
Ekpe Udoh,6,2010,76,33,160,92.0,27.0,36.0,77.0,0.437,832.0,20.0
Ekpe Udoh,6,2010,191,111,351,133.0,29.0,87.0,87.0,0.49,1264.0,22.0
Greg Monroe,7,2010,202,138,328,52.0,42.0,112.0,87.0,0.525,1164.0,19.0
Al-Farouq Aminu,8,2010,167,139,332,44.0,44.0,99.0,91.0,0.447,970.0,19.0
Gordon Hayward,9,2010,173,179,305,30.0,40.0,85.0,78.0,0.464,1239.0,19.0
Paul George,10,2010,154,120,210,24.0,64.0,94.0,84.0,0.424,962.0,19.0
Cole Aldrich,11,2010,149,108,354,125.0,27.0,56.0,92.0,0.562,963.0,21.0
Xavier Henry,12,2010,162,90,157,18.0,54.0,69.0,66.0,0.458,990.0,18.0
Ed Davis,13,2010,111,87,220,64.0,10.0,46.0,42.0,0.578,641.0,20.0
Patrick Patterson,14,2010,215,90,283,51.0,27.0,41.0,61.0,0.575,1255.0,20.0
Larry Sanders,15,2010,196,107,319,90.0,26.0,58.0,103.0,0.534,941.0,21.0
Luke Babbitt,16,2010,251,199,303,27.0,35.0,81.0,87.0,0.5,1260.0,20.0
Eric Bledsoe,18,2010,144,82,114,12.0,52.0,112.0,82.0,0.462,1122.0,20.0
Avery Bradley,19,2010,159,36,98,18.0,44.0,52.0,80.0,0.432,1003.0,19.0
James Anderson,20,2010,226,209,192,20.0,46.0,78.0,88.0,0.457,1124.0,20.0
Craig Brackins,21,2010,192,117,273,38.0,25.0,68.0,64.0,0.42,1124.0,22.0
Elliot Williams,22,2010,56,23,77,1.0,21.0,29.0,58.0,0.441,563.0,19.0
Elliot Williams,22,2010,178,194,135,4.0,45.0,100.0,69.0,0.459,1133.0,20.0
Trevor Booker,23,2010,188,101,268,45.0,43.0,62.0,63.0,0.521,984.0,22.0
Damion James,24,2010,210,155,350,40.0,57.0,69.0,100.0,0.501,1029.0,22.0
Dominique Jones,25,2010,222,209,201,19.0,56.0,97.0,93.0,0.45,1224.0,21.0
Quincy Pondexter,26,2010,245,187,265,21.0,46.0,68.0,90.0,0.528,1162.0,21.0
Jordan Crawford,27,2010,107,47,101,6.0,28.0,58.0,49.0,0.44,758.0,19.0
Jordan Crawford,27,2010,260,119,166,7.0,47.0,85.0,57.0,0.462,1147.0,21.0
Daniel Orton,29,2010,48,33,126,53.0,21.0,38.0,88.0,0.527,502.0,19.0
Lazar Hayward,30,2010,222,107,256,18.0,64.0,67.0,115.0,0.432,1097.0,23.0
Dexter Pittman,32,2010,140,75,199,63.0,12.0,60.0,90.0,0.654,648.0,21.0
Hassan Whiteside,33,2010,167,110,303,182.0,19.0,64.0,82.0,0.524,889.0,20.0
Armon Johnson,34,2010,219,80,115,12.0,28.0,114.0,61.0,0.495,1172.0,20.0
Terrico White,36,2010,192,85,160,7.0,30.0,45.0,62.0,0.43,1103.0,19.0
Darington Hobson,37,2010,193,130,324,15.0,44.0,104.0,68.0,0.44,1175.0,22.0
Andy Rautins,38,2010,130,66,118,8.0,69.0,98.0,76.0,0.438,1137.0,23.0
Landry Fields,39,2010,248,179,280,25.0,51.0,83.0,65.0,0.49,1161.0,21.0
Lance Stephenson,40,2010,162,79,182,6.0,31.0,81.0,66.0,0.44,960.0,19.0
Jarvis Varnado,41,2010,184,128,369,170.0,24.0,71.0,88.0,0.582,1141.0,21.0
Da'Sean Butler,42,2010,208,168,237,15.0,37.0,68.0,82.0,0.414,1360.0,22.0
Devin Ebanks,43,2010,144,117,275,23.0,36.0,75.0,54.0,0.457,1161.0,20.0
Jerome Jordan,44,2010,184,172,317,82.0,16.0,79.0,98.0,0.549,1043.0,23.0
Gani Lawal,46,2010,172,127,305,49.0,16.0,78.0,76.0,0.529,930.0,21.0
Tiny Gallon,47,2010,122,62,238,23.0,21.0,70.0,85.0,0.547,720.0,19.0
Solomon Alabi,50,2010,133,108,198,75.0,20.0,61.0,75.0,0.534,820.0,21.0
Magnum Rolle,51,2010,50,15,118,31.0,16.0,29.0,57.0,0.431,485.0,20.0
Magnum Rolle,51,2010,189,93,286,71.0,26.0,67.0,95.0,0.514,1025.0,23.0
Luke Harangody,52,2010,244,140,273,20.0,14.0,54.0,70.0,0.481,989.0,22.0
Willie Warren,54,2010,106,101,69,1.0,21.0,80.0,48.0,0.438,678.0,20.0
Jeremy Evans,55,2010,137,64,235,61.0,28.0,36.0,98.0,0.649,901.0,22.0
Ryan Reid,57,2010,82,46,123,16.0,18.0,51.0,46.0,0.491,704.0,23.0
Derrick Caracter,58,2010,111,68,158,31.0,22.0,63.0,107.0,0.552,593.0,19.0
Derrick Caracter,58,2010,148,80,218,23.0,26.0,77.0,82.0,0.567,720.0,21.0
Stanley Robinson,59,2010,203,61,260,41.0,30.0,77.0,52.0,0.525,1163.0,21.0
Dwayne Collins,60,2010,128,91,225,32.0,17.0,71.0,68.0,0.604,716.0,21.0
Kyrie Irving,1,2011,55,64,37,6.0,16.0,27.0,23.0,0.529,303.0,18.0
Derrick Williams,2,2011,226,247,314,26.0,37.0,100.0,106.0,0.595,1141.0,19.0
Tristan Thompson,4,2011,172,127,282,86.0,34.0,64.0,100.0,0.546,1104.0,19.0
Brandon Knight,8,2011,217,136,153,8.0,25.0,120.0,83.0,0.423,1363.0,19.0
Kemba Walker,9,2011,316,258,223,7.0,77.0,93.0,56.0,0.428,1543.0,20.0
Jimmer Fredette,10,2011,346,252,127,1.0,49.0,131.0,49.0,0.452,1323.0,21.0
Klay Thompson,11,2011,240,155,178,32.0,56.0,115.0,99.0,0.436,1179.0,20.0
Alec Burks,12,2011,251,249,247,12.0,41.0,99.0,89.0,0.469,1193.0,19.0
Markieff Morris,13,2011,195,103,316,43.0,30.0,78.0,108.0,0.589,926.0,21.0
Kawhi Leonard,15,2011,211,110,380,21.0,51.0,76.0,89.0,0.444,1172.0,19.0
Iman Shumpert,17,2011,177,141,183,6.0,85.0,72.0,86.0,0.406,992.0,20.0
Chris Singleton,18,2011,124,84,191,41.0,55.0,61.0,90.0,0.434,814.0,21.0
Tobias Harris,19,2011,185,128,247,29.0,24.0,62.0,70.0,0.46,993.0,18.0
Nolan Smith,21,2011,260,187,166,3.0,45.0,118.0,72.0,0.458,1259.0,22.0
Kenneth Faried,22,2011,233,139,508,82.0,67.0,92.0,108.0,0.623,1216.0,21.0
Reggie Jackson,24,2011,219,109,146,18.0,36.0,81.0,58.0,0.503,1161.0,20.0
MarShon Brooks,25,2011,276,169,225,39.0,48.0,98.0,80.0,0.483,1168.0,22.0
Jordan Hamilton,26,2011,243,95,276,23.0,31.0,77.0,64.0,0.44,1159.0,20.0
JaJuan Johnson,27,2011,257,169,291,79.0,30.0,56.0,53.0,0.494,1203.0,21.0
Norris Cole,28,2011,251,227,210,3.0,80.0,97.0,87.0,0.439,1285.0,22.0
Cory Joseph,29,2011,136,51,128,11.0,37.0,54.0,65.0,0.422,1166.0,19.0
Justin Harper,32,2011,245,94,256,46.0,23.0,56.0,82.0,0.534,1178.0,21.0
Kyle Singler,33,2011,219,125,253,12.0,34.0,70.0,98.0,0.43,1286.0,22.0
Shelvin Mack,34,2011,201,120,170,3.0,30.0,93.0,66.0,0.408,1219.0,20.0
Tyler Honeycutt,35,2011,144,78,238,67.0,29.0,100.0,52.0,0.406,1154.0,20.0
Jordan Williams,36,2011,213,131,388,45.0,23.0,53.0,80.0,0.538,1073.0,20.0
Trey Thompkins,37,2011,194,82,229,50.0,33.0,76.0,67.0,0.481,937.0,20.0
Chandler Parsons,38,2011,155,54,279,15.0,34.0,81.0,67.0,0.48,1229.0,22.0
Jon Leuer,40,2011,227,113,246,30.0,17.0,54.0,75.0,0.47,1139.0,21.0
Darius Morris,41,2011,201,108,139,1.0,36.0,103.0,74.0,0.489,1219.0,20.0
Malcolm Lee,43,2011,141,112,101,7.0,22.0,56.0,80.0,0.437,1093.0,20.0
Charles Jenkins,44,2011,249,182,111,22.0,57.0,73.0,66.0,0.517,1232.0,21.0
Josh Harrellson,45,2011,127,33,329,57.0,35.0,28.0,91.0,0.611,1083.0,21.0
Andrew Goudelock,46,2011,318,110,143,7.0,33.0,119.0,66.0,0.455,1302.0,22.0
Travis Leslie,47,2011,177,109,237,20.0,40.0,71.0,63.0,0.492,1062.0,20.0
Keith Benson,48,2011,231,157,354,125.0,28.0,66.0,108.0,0.547,1133.0,22.0
Josh Selby,49,2011,72,28,58,1.0,21.0,53.0,44.0,0.373,530.0,19.0
Lavoy Allen,50,2011,154,69,283,61.0,23.0,54.0,75.0,0.48,1120.0,21.0
Jon Diebler,51,2011,145,64,98,5.0,36.0,35.0,37.0,0.507,1320.0,22.0
Vernon Macklin,52,2011,52,12,72,25.0,8.0,26.0,58.0,0.598,435.0,21.0
Vernon Macklin,52,2011,191,46,199,26.0,13.0,63.0,91.0,0.593,905.0,24.0
DeAndre Liggins,53,2011,112,68,153,28.0,46.0,55.0,94.0,0.424,1201.0,22.0
E'Twaun Moore,55,2011,221,100,175,18.0,41.0,61.0,71.0,0.447,1152.0,21.0
Ater Majok,58,2011,25,9,79,42.0,4.0,21.0,51.0,0.424,383.0,22.0
Isaiah Thomas,60,2011,188,151,123,2.0,47.0,104.0,75.0,0.445,1115.0,21.0
Anthony Davis,1,2012,210,144,415,186.0,54.0,41.0,78.0,0.623,1281.0,18.0
Michael Kidd-Gilchrist,2,2012,160,143,297,37.0,39.0,87.0,97.0,0.491,1245.0,18.0
Bradley Beal,3,2012,175,133,249,31.0,51.0,79.0,76.0,0.445,1267.0,18.0
Dion Waiters,4,2012,170,86,85,12.0,67.0,48.0,69.0,0.476,891.0,20.0
Thomas Robinson,5,2012,261,163,463,34.0,42.0,104.0,107.0,0.505,1242.0,20.0
Damian Lillard,6,2012,231,228,161,7.0,47.0,74.0,62.0,0.467,1105.0,21.0
Harrison Barnes,7,2012,229,141,198,13.0,41.0,74.0,68.0,0.44,1111.0,19.0
Terrence Ross,8,2012,215,72,225,33.0,44.0,70.0,99.0,0.457,1088.0,20.0
Andre Drummond,9,2012,157,26,257,92.0,28.0,52.0,75.0,0.538,967.0,18.0
Austin Rivers,10,2012,174,121,115,1.0,33.0,79.0,76.0,0.433,1129.0,19.0
Meyers Leonard,11,2012,170,93,262,60.0,15.0,68.0,94.0,0.584,1018.0,19.0
Jeremy Lamb,12,2012,217,98,166,21.0,42.0,68.0,57.0,0.478,1266.0,19.0
Kendall Marshall,13,2012,105,55,94,6.0,43.0,101.0,56.0,0.467,1189.0,20.0
John Henson,14,2012,205,69,348,101.0,20.0,45.0,55.0,0.5,1019.0,21.0
Maurice Harkless,15,2012,193,94,276,45.0,51.0,80.0,74.0,0.452,1155.0,18.0
Royce White,16,2012,3,1,4,2.0,2.0,0.0,0.0,0.6,17.0,18.0
Royce White,16,2012,175,102,316,32.0,40.0,130.0,89.0,0.534,1072.0,20.0
Tyler Zeller,17,2012,220,181,365,58.0,34.0,73.0,102.0,0.553,1070.0,22.0
Terrence Jones,18,2012,177,99,272,68.0,49.0,62.0,91.0,0.5,1115.0,20.0
Andrew Nicholson,19,2012,220,128,269,63.0,21.0,80.0,90.0,0.571,962.0,22.0
Jared Sullinger,21,2012,228,175,340,39.0,43.0,71.0,109.0,0.519,1123.0,19.0
Fab Melo,22,2012,98,38,175,88.0,15.0,43.0,85.0,0.566,763.0,21.0
John Jenkins,23,2012,217,128,101,11.0,29.0,55.0,42.0,0.474,1177.0,20.0
Jared Cunningham,24,2012,198,199,138,15.0,91.0,102.0,86.0,0.45,1245.0,20.0
Tony Wroten,25,2012,198,154,176,13.0,66.0,132.0,93.0,0.443,1062.0,18.0
Miles Plumlee,26,2012,89,48,242,32.0,18.0,42.0,78.0,0.61,697.0,23.0
Arnett Moultrie,27,2012,131,54,220,27.0,45.0,70.0,72.0,0.475,955.0,19.0
Arnett Moultrie,27,2012,180,124,314,23.0,25.0,73.0,67.0,0.549,1073.0,21.0
Marquis Teague,29,2012,145,85,101,11.0,37.0,109.0,91.0,0.412,1303.0,18.0
Festus Ezeli,30,2012,89,84,154,52.0,11.0,58.0,82.0,0.539,603.0,22.0
Bernard James,33,2012,157,64,283,82.0,26.0,73.0,68.0,0.606,979.0,26.0
Jae Crowder,34,2012,217,119,294,35.0,88.0,44.0,93.0,0.498,1153.0,21.0
Draymond Green,35,2012,212,125,394,35.0,54.0,112.0,105.0,0.449,1229.0,21.0
Orlando Johnson,36,2012,133,77,152,12.0,18.0,80.0,80.0,0.412,807.0,18.0
Orlando Johnson,36,2012,207,127,179,23.0,34.0,76.0,57.0,0.451,1067.0,22.0
Quincy Acy,37,2012,158,136,282,70.0,35.0,71.0,117.0,0.577,1130.0,21.0
Quincy Miller,38,2012,138,93,182,24.0,25.0,66.0,69.0,0.447,903.0,19.0
Khris Middleton,39,2012,102,39,99,5.0,19.0,43.0,37.0,0.415,575.0,20.0
Will Barton,40,2012,230,134,279,25.0,50.0,75.0,74.0,0.509,1236.0,21.0
Tyshawn Taylor,41,2012,226,137,91,6.0,52.0,138.0,77.0,0.477,1303.0,21.0
Doron Lamb,42,2012,175,123,108,2.0,19.0,44.0,72.0,0.474,1249.0,20.0
Mike Scott,43,2012,215,139,265,15.0,21.0,67.0,56.0,0.563,999.0,23.0
Kim English,44,2012,171,87,148,10.0,45.0,59.0,83.0,0.521,1175.0,23.0
Justin Hamilton,45,2012,74,49,167,33.0,8.0,30.0,71.0,0.617,663.0,19.0
Justin Hamilton,45,2012,158,107,238,43.0,25.0,57.0,83.0,0.494,990.0,21.0
Darius Miller,46,2012,143,55,110,13.0,33.0,58.0,87.0,0.474,1043.0,21.0
Kevin Murphy,47,2012,239,124,173,7.0,28.0,108.0,71.0,0.444,1139.0,21.0
Kyle O'Quinn,49,2012,205,156,372,97.0,25.0,95.0,117.0,0.573,1125.0,21.0
Kris Joseph,51,2012,164,117,174,23.0,50.0,55.0,62.0,0.421,1192.0,23.0
Darius Johnson-Odom,55,2012,210,126,119,4.0,32.0,80.0,68.0,0.447,1120.0,22.0
Robbie Hummel,58,2012,194,113,251,42.0,23.0,32.0,73.0,0.417,1128.0,22.0
Marcus Denmon,59,2012,200,120,176,1.0,54.0,41.0,34.0,0.46,1212.0,21.0
Robert Sacre,60,2012,117,150,208,47.0,12.0,60.0,72.0,0.511,868.0,22.0
Anthony Bennett,1,2013,202,124,285,43.0,24.0,65.0,80.0,0.533,950.0,19.0
Victor Oladipo,2,2013,182,97,227,28.0,78.0,83.0,89.0,0.599,1021.0,20.0
Otto Porter Jr.,3,2013,168,122,232,28.0,57.0,47.0,61.0,0.48,1097.0,19.0
Cody Zeller,4,2013,199,196,289,45.0,37.0,81.0,80.0,0.564,1062.0,20.0
Alex Len,5,2013,173,105,298,78.0,8.0,60.0,101.0,0.534,1004.0,19.0
Nerlens Noel,6,2013,98,55,227,106.0,50.0,45.0,62.0,0.59,765.0,18.0
Ben McLemore,7,2013,198,120,192,25.0,37.0,77.0,69.0,0.495,1191.0,19.0
Kentavious Caldwell-Pope,8,2013,186,135,226,17.0,65.0,64.0,70.0,0.433,1086.0,19.0
Trey Burke,9,2013,259,133,124,20.0,62.0,86.0,73.0,0.463,1378.0,20.0
CJ McCollum,10,2013,96,62,60,4.0,17.0,32.0,21.0,0.495,372.0,21.0
Michael Carter-Williams,11,2013,155,129,199,20.0,109.0,138.0,92.0,0.393,1409.0,21.0
Steven Adams,12,2013,100,31,203,65.0,21.0,35.0,52.0,0.571,749.0,19.0
Kelly Olynyk,13,2013,215,132,235,36.0,22.0,77.0,72.0,0.629,845.0,21.0
Shabazz Muhammad,14,2013,202,128,167,4.0,23.0,51.0,53.0,0.443,987.0,20.0
Shane Larkin,18,2013,183,87,138,4.0,71.0,82.0,59.0,0.479,1311.0,20.0
Tony Snell,20,2013,144,86,92,17.0,29.0,72.0,46.0,0.422,1093.0,21.0
Gorgui Dieng,21,2013,125,73,310,83.0,44.0,59.0,85.0,0.534,1026.0,23.0
Mason Plumlee,22,2013,221,173,358,52.0,36.0,103.0,92.0,0.599,1248.0,22.0
Solomon Hill,23,2013,158,95,187,20.0,40.0,77.0,76.0,0.458,1154.0,21.0
Tim Hardaway Jr.,24,2013,201,77,177,17.0,26.0,71.0,73.0,0.437,1324.0,20.0
